product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN23543,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,417.0,1299.0,67.9,3.9,31.0
JN23546,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,379.0,1299.0,70.82,3.9,31.0
JN23548,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,417.0,1299.0,67.9,4.1,25.0
JN23549,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,488.0,1299.0,62.43,4.1,25.0
JN23553,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,377.0,1299.0,70.98,4.6,5.0
JN23554,LINARIA,Men Jogger Jeans,Other/Unspecified,Not Specified,377.0,1299.0,70.98,4.6,5.0
JN23555,United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,Relaxed Fit,Mid-Rise,377.0,1299.0,70.98,4.6,5.0
JN23556,LINARIA,Men Cotton Slash Knee Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.6,5.0
JN23559,LINARIA,Men Skinny Fit Jeans,Skinny Fit,Not Specified,420.0,1299.0,67.67,3.1,35.0
JN23560,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,418.0,1299.0,67.82,3.1,35.0
JN23563,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,420.0,1299.0,67.67,4.2,42.0
JN23565,LINARIA,Men Mid-Rise Jeans,Other/Unspecified,Mid-Rise,470.0,1299.0,63.82,4.2,42.0
JN23572,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.0,63.0
JN23574,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.3,264.0
JN23577,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,420.0,1299.0,67.67,4.3,264.0
JN23581,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,470.0,1299.0,63.82,4.3,264.0
